job_id,job_description,co_number,co_date,co_status,owner_co_number,total_income_adj,modified_on
5323,Landing at Herndon - Ext Ptg,2,8/12/2026,A,[NULL],"15,288",9/8/2026 7:51
5341,Inspire Atlanta Hallway Reno,2,9/3/2026,A,[NULL],"2,950",9/8/2026 14:09
5148,Brandon Crossroads-Ext Paint,4,8/13/2026,A,[NULL],"-4,330",9/9/2026 9:11
5064,Windbrooke-Facade&Balcony,3,9/9/2026,A,3,"38,334.36",9/9/2026 12:12
5152,M South Apts-Ext Painting,2,8/31/2026,A,[NULL],"5,777.40",9/9/2026 13:41
5323,Landing at Herndon - Ext Ptg,4,8/19/2026,A,[NULL],"15,255",9/9/2026 19:48
