job_id,job_label,customer_name,sales_id,original_contract,city,state,opened_date,bd_linked
5398,5398 - Camden Design-Garage Sealant,Camden Property Trust,DB,"29,000",Dallas,TX,9/9/2026,NONE
5401,5401 - Camden Belmont - Ext Carpentry,Camden Property Trust,DB,"65,000",Dallas,TX,9/10/2026,NONE
5402,5402 - Camden Henderson - Carpentry,Camden Property Trust,DB,"75,000",Dallas,TX,9/10/2026,NONE
5403,5403 - Reserve Belvedere -Shutter Rep,Cathcart Group,NONE,"19,125",Charlottesville,VA,9/10/2026,NONE
